Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
2.534576,545.843750,-58.218750,-282.843750,412.156250,-306.437500,-516.343750,0.000000,-1510.687500,0.000000,0.101562,-5.242188,0.156250,0.164062
2.597560,557.437500,-58.875000,-317.500000,412.000000,-306.406250,-516.218750,0.007812,-1510.875000,0.000000,0.125000,-9.406250,0.156250,0.164062
2.660652,557.468750,-58.187500,-316.718750,412.093750,-282.437500,-516.406250,0.007812,-1510.500000,0.000000,0.117188,-5.242188,0.132812,0.148438
2.723643,557.343750,-58.218750,-317.625000,405.531250,-306.406250,-456.156250,0.015625,-1510.687500,0.000000,0.117188,-1.992188,0.125000,0.132812
2.786671,500.187500,-58.281250,-312.156250,409.687500,-306.312500,-294.750000,0.007812,-1510.687500,0.000000,0.132812,13.914062,0.140625,0.148438
2.850068,557.437500,-58.250000,-314.937500,412.062500,-306.281250,-516.312500,0.000000,-1510.687500,0.000000,0.117188,-5.359375,0.132812,0.132812
2.914602,557.500000,-59.781250,-317.500000,412.031250,-306.281250,-516.312500,0.000000,-1510.312500,0.000000,0.101562,10.468750,0.148438,0.171875
2.978291,557.343750,-58.218750,-317.187500,412.156250,-302.781250,-516.500000,0.015625,-1510.687500,0.000000,0.117188,-5.179688,0.109375,0.148438
3.041394,557.468750,-58.218750,-317.343750,412.093750,-275.906250,-514.750000,0.007812,-1510.875000,0.000000,0.132812,-2.890625,0.117188,0.156250
3.104435,528.656250,-58.218750,-317.000000,382.593750,-306.437500,-252.125000,0.000000,-1510.875000,0.000000,0.109375,10.968750,0.148438,0.156250
3.167433,541.656250,-58.187500,-276.218750,412.125000,-306.281250,-516.312500,0.000000,-1510.687500,0.000000,0.132812,-5.367188,0.140625,0.171875
